Crime_ID,FIR_Number,Date_Time,Date,Time,Hour,Day_of_Week,Month,Year,Province,City,Area,Location,Police_Station,Latitude,Longitude,Crime_Type,Crime_Category,Weapon_Used,Victim_Gender,Victim_Age,Suspect_Gender,Suspect_Age,Suspect_Count,Arrest_Status
PK-000001,FIR-0056/2022,2022-01-01 01:46:46,2022-01-01,01:46:46,1,Saturday,January,2022,Punjab,Multan,Basti Malook,"Plot 299, Basti Malook",Sadar PS,30.209993,71.418028,Theft,Property,Not Used,Male,32,Male,21.0,1.0,Arrested
PK-000002,FIR-0010/2022,2022-01-01 02:19:30,2022-01-01,02:19:30,2,Saturday,January,2022,Punjab,Lahore,Johar Town,"Block 9, Johar Town",Johar Town PS,31.454122,74.267752,Burglary,Property,Not Used,Male,45,Unknown,,,Pending
PK-000003,FIR-0011/2022,2022-01-01 15:05:40,2022-01-01,15:05:40,15,Saturday,January,2022,Punjab,Lahore,Walled City,Walled City Market,Walled City PS,31.589592,74.318106,Burglary,Property,Not Used,Male,31,Male,29.0,1.0,Pending
PK-000004,FIR-0022/2022,2022-01-01 17:34:36,2022-01-01,17:34:36,17,Saturday,January,2022,Punjab,Multan,Gulgasht Colony,"House #106, Gulgasht Colony",Gulgasht PS,30.248257,71.507651,Hurt / Assault,Violent,Knife,Male,63,Male,18.0,1.0,Arrested
PK-000005,FIR-0034/2022,2022-01-01 21:04:41,2022-01-01,21:04:41,21,Saturday,January,2022,Sindh,Karachi,Malir,Malir Service Road,Malir PS,24.888721,67.203643,Hurt / Assault,Violent,Not Used,Female,43,Male,18.0,1.0,Released on Bail
PK-000006,FIR-0037/2022,2022-01-01 21:39:56,2022-01-01,21:39:56,21,Saturday,January,2022,Punjab,Lahore,Walled City,Near Walled City Petrol Pump,Walled City PS,31.580454,74.318742,Theft,Property,Not Used,Male,28,Male,22.0,1.0,Under Investigation
PK-000007,FIR-0085/2022,2022-01-01 22:17:15,2022-01-01,22:17:15,22,Saturday,January,2022,KPK,Peshawar,City Center,City Center Market,City Center PS,34.043161,71.55815,Burglary,Property,Not Used,Male,60,Unknown,,,Pending
PK-000008,FIR-0006/2022,2022-01-02 05:30:57,2022-01-02,05:30:57,5,Sunday,January,2022,Balochistan,Quetta,University Town,"Plot 439, University Town",University Town PS,30.141644,66.957792,Cattle Theft,Property,Not Used,Male,29,Male,43.0,1.0,Pending
PK-000009,FIR-0057/2022,2022-01-02 10:01:38,2022-01-02,10:01:38,10,Sunday,January,2022,Sindh,Karachi,Korangi,"House #530, Korangi",Korangi PS,24.843319,67.14549,Murder,Violent,Knife,Female,41,Unknown,,,Under Investigation
PK-000010,FIR-0061/2022,2022-01-02 12:03:34,2022-01-02,12:03:34,12,Sunday,January,2022,KPK,Mardan,Industrial Area,Near Industrial Area Chowk,Industrial Area PS,34.175281,71.986338,Attempted Murder,Violent,Blunt Object,Male,28,Male,24.0,1.0,Arrested
PK-000011,FIR-0003/2022,2022-01-02 14:39:12,2022-01-02,14:39:12,14,Sunday,January,2022,Punjab,Multan,Bosan Road,Main Bosan Road Bazaar,Bosan Road PS,30.249846,71.494763,Robbery,Property,Knife,Male,38,Unknown,,,Pending
