Crime_ID,FIR_Number,Date_Time,Date,Time,Hour,Day_of_Week,Month,Year,Province,City,Area,Location,Police_Station,Latitude,Longitude,Crime_Type,Crime_Category,Weapon_Used,Victim_Gender,Victim_Age,Suspect_Gender,Suspect_Age,Suspect_Count,Arrest_Status
PK-000001,FIR-0006/2022,2022-01-02 05:30:57,2022-01-02,05:30:57,5,Sunday,January,2022,Balochistan,Quetta,University Town,"Plot 439, University Town",University Town PS,30.141644,66.957792,Cattle Theft,Property,Not Used,Male,29,Male,43.0,1.0,Pending
PK-000002,FIR-0061/2022,2022-01-02 12:03:34,2022-01-02,12:03:34,12,Sunday,January,2022,KPK,Mardan,Industrial Area,Near Industrial Area Chowk,Industrial Area PS,34.175281,71.986338,Attempted Murder,Violent,Blunt Object,Male,28,Male,24.0,1.0,Arrested
PK-000003,FIR-0190/2022,2022-01-08 12:32:47,2022-01-08,12:32:47,12,Saturday,January,2022,Punjab,Lahore,Cantt,Near Cantt Chowk,Cantt PS,31.529127,74.414299,Kidnapping / Abduction,Violent,Not Used,Male,13,Unknown,,,Under Investigation
PK-000004,FIR-0047/2022,2022-01-11 22:26:11,2022-01-11,22:26:11,22,Tuesday,January,2022,Punjab,Multan,Chungi No. 9,Street near Chungi No. 9 Mosque,New Multan PS,30.208838,71.469933,Attempted Murder,Violent,Blunt Object,Male,38,Male,19.0,1.0,Arrested
PK-000005,FIR-0073/2022,2022-01-12 00:35:52,2022-01-12,00:35:52,0,Wednesday,January,2022,Punjab,Faisalabad,Industrial Area,Industrial Area Market,Industrial Area PS,31.453585,73.130081,Cybercrime / Fraud,Cyber,Not Used,Male,36,Unknown,,,Under Investigation
PK-000006,FIR-0027/2022,2022-01-15 11:01:53,2022-01-15,11:01:53,11,Saturday,January,2022,Punjab,Multan,Chowk Kumharanwala,"House #615, Chowk Kumharanwala",City PS,30.200226,71.465787,Cybercrime / Fraud,Cyber,Not Used,Female,21,Male,33.0,3.0,Pending
PK-000007,FIR-0043/2022,2022-01-18 01:42:40,2022-01-18,01:42:40,1,Tuesday,January,2022,ICT,Islamabad,Civil Lines,Street near Civil Lines Mosque,Civil Lines PS,33.673975,73.060268,Cybercrime / Fraud,Cyber,Not Used,Female,24,Female,33.0,1.0,Pending
PK-000008,FIR-0064/2022,2022-01-19 15:23:08,2022-01-19,15:23:08,15,Wednesday,January,2022,Sindh,Karachi,Lyari,"Sector C, Lyari",Lyari PS,24.872795,67.013276,Cybercrime / Fraud,Cyber,Not Used,Female,22,Unknown,,,Pending
PK-000009,FIR-0048/2022,2022-01-24 14:50:54,2022-01-24,14:50:54,14,Monday,January,2022,Punjab,Multan,Gulgasht Colony,Near Gulgasht Colony Chowk,Gulgasht PS,30.24328,71.505738,Theft,Property,Not Used,Male,7,Male,26.0,1.0,Released on Bail
PK-000010,FIR-0019/2022,2022-01-24 21:58:37,2022-01-24,21:58:37,21,Monday,January,2022,Punjab,Multan,Chowk Kumharanwala,Near Chowk Kumharanwala Chowk,City PS,30.205319,71.473313,Theft,Property,Not Used,Male,24,Male,24.0,1.0,Under Investigation
PK-000011,FIR-0051/2022,2022-01-25 10:39:39,2022-01-25,10:39:39,10,Tuesday,January,2022,Sindh,Karachi,Malir,"Sector B, Malir",Malir PS,24.894734,67.202066,Drug Possession,Drug,Not Used,Male,38,Male,23.0,1.0,Arrested
PK-000012,FIR-0078/2022,2022-01-28 13:19:00,2022-01-28,13:19:00,13,Friday,January,2022,Punjab,Khanewal,Mall Road,Mall Road Service Road,Mall Road PS,30.324977,71.952161,Theft,Property,Not Used,Male,39,Male,25.0,2.0,Under Investigation
PK-000013,FIR-0032/2022,2022-01-29 09:24:41,2022-01-29,09:24:41,9,Saturday,January,2022,Punjab,Multan,Suraj Miani,"Sector D, Suraj Miani",Sadar PS,30.22046,71.432538,Attempted Murder,Violent,Firearm,Male,41,Male,43.0,1.0,Arrested
PK-000014,FIR-0095/2022,2022-01-30 12:14:50,2022-01-30,12:14:50,12,Sunday,January,2022,KPK,Mardan,City Center,City Center Service Road,City Center PS,34.195107,72.023647,Theft,Property,Not Used,Male,22,Unknown,,,Pending
PK-000015,FIR-0132/2022,2022-01-31 22:30:42,2022-01-31,22:30:42,22,Monday,January,2022,Sindh,Karachi,Saddar,Near Saddar Petrol Pump,Saddar PS,24.859356,67.020221,Cattle Theft,Property,Not Used,Male,44,Unknown,,,Pending
PK-000016,FIR-0074/2022,2022-02-01 19:41:09,2022-02-01,19:41:09,19,Tuesday,February,2022,Balochistan,Quetta,Model Town,Model Town Service Road,Model Town PS,30.213707,66.983203,Robbery,Property,Knife,Female,20,Male,25.0,4.0,Under Investigation
PK-000017,FIR-0016/2022,2022-02-02 04:53:56,2022-02-02,04:53:56,4,Wednesday,February,2022,Sindh,Karachi,DHA Karachi,Street near DHA Karachi Mosque,DHA Karachi PS,24.801098,67.04909,Motor Vehicle Theft,Property,Not Used,Female,72,Unknown,,,Pending
PK-000018,FIR-0079/2022,2022-02-03 04:52:35,2022-02-03,04:52:35,4,Thursday,February,2022,Punjab,Multan,Qasim Bela,Qasim Bela Bus Stop,Sadar PS,30.171326,71.495146,Hurt / Assault,Violent,Knife,Male,13,Male,33.0,1.0,Arrested
PK-000019,FIR-0002/2022,2022-02-04 10:43:07,2022-02-04,10:43:07,10,Friday,February,2022,Sindh,Karachi,North Nazimabad,"Plot 363, North Nazimabad",North Nazimabad PS,24.947288,67.045712,Burglary,Property,Not Used,Male,36,Male,41.0,1.0,Pending
PK-000020,FIR-0087/2022,2022-02-06 19:34:13,2022-02-06,19:34:13,19,Sunday,February,2022,Punjab,Khanewal,City Center,"Plot 11, City Center",City Center PS,30.333993,71.943533,Attempted Murder,Violent,Knife,Male,36,Male,28.0,1.0,Arrested
PK-000021,FIR-0034/2022,2022-02-07 21:51:28,2022-02-07,21:51:28,21,Monday,February,2022,Sindh,Karachi,Clifton,Clifton Park area,Clifton PS,24.810719,67.024626,Theft,Property,Not Used,Male,46,Male,35.0,1.0,Under Investigation
PK-000022,FIR-0109/2022,2022-02-09 20:30:34,2022-02-09,20:30:34,20,Wednesday,February,2022,Punjab,Gujranwala,Industrial Area,Street near Industrial Area Mosque,Industrial Area PS,32.191082,74.196629,Theft,Property,Not Used,Female,20,Male,38.0,1.0,Pending
PK-000023,FIR-0047/2022,2022-02-11 03:42:29,2022-02-11,03:42:29,3,Friday,February,2022,Sindh,Karachi,Lyari,"Sector C, Lyari",Lyari PS,24.87567,67.022422,Motor Vehicle Theft,Property,Not Used,Male,47,Male,14.0,2.0,Arrested
PK-000024,FIR-0050/2022,2022-02-14 21:44:14,2022-02-14,21:44:14,21,Monday,February,2022,Punjab,Bahawalpur,Old City,Old City Service Road,Old City PS,29.404446,71.647819,Burglary,Property,Not Used,Male,24,Male,14.0,1.0,Pending
PK-000025,FIR-0141/2022,2022-02-17 00:15:44,2022-02-17,00:15:44,0,Thursday,February,2022,KPK,Swat,Saddar,Street near Saddar Mosque,Saddar PS,35.218411,72.425975,Domestic Violence,Violent,Not Used,Male,36,Male,30.0,3.0,Arrested
PK-000026,FIR-0068/2022,2022-02-18 23:31:29,2022-02-18,23:31:29,23,Friday,February,2022,Sindh,Hyderabad,Old City,Near Old City Chowk,Old City PS,25.439835,68.409026,Robbery,Property,Not Used,Female,26,Unknown,,,Pending
PK-000027,FIR-0078/2022,2022-02-19 14:41:45,2022-02-19,14:41:45,14,Saturday,February,2022,Punjab,Multan,Qasim Bela,Qasim Bela Service Road,Sadar PS,30.165645,71.493314,Robbery,Property,Not Used,Male,30,Unknown,,,Pending
PK-000028,FIR-0037/2022,2022-02-22 19:13:30,2022-02-22,19:13:30,19,Tuesday,February,2022,Sindh,Karachi,Lyari,"Block 3, Lyari",Lyari PS,24.87006,67.021165,Robbery,Property,Knife,Female,50,Male,30.0,2.0,Under Investigation
PK-000029,FIR-0056/2022,2022-02-23 05:32:09,2022-02-23,05:32:09,5,Wednesday,February,2022,Punjab,Multan,Wapda Town,Wapda Town Park area,Bosan Road PS,30.239823,71.487252,Cattle Theft,Property,Not Used,Male,16,Male,26.0,1.0,Under Investigation
